model,best_params,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
Extra trees,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.9610058657861782,0.0015403342753359122,0.9599023484277518,0.0019774920146157443,0.9613145907910802,0.001815547299845327,0.9599023484277518,0.0019774920146157443,0.9597218838838787,0.001721433255439582,0.9614385597443837,0.0014775946284725124
Random forest,"{""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 200}",0.9535177132122937,0.0015906655715075615,0.9522529173563996,0.002321452855515873,0.9535474228254255,0.0009024412981898687,0.9522529173563996,0.002321452855515873,0.9520089615785947,0.001478039458137779,0.953947992181558,0.0015273414778508574
