model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
Extra trees,0.959566762108097,0.0014074613808370106,0.9584449670624847,0.00180837534736064,0.9597220113450617,0.002128266839854209,0.9584449670624847,0.00180837534736064,0.9581698576460866,0.001743216944064929,0.9600040256041209,0.0013870009817908843
Random forest,0.9513151815318075,0.0029233674406329937,0.9500213051833517,0.0037432796804158903,0.951176253086731,0.002153609670629546,0.9500213051833517,0.0037432796804158903,0.9497029769552698,0.0029177789410515945,0.9517390301074709,0.0028852596913992415
KNN,0.9061858666688734,0.004395161035685388,0.9043793570937769,0.00490748661473022,0.9064631453570078,0.004026056132130916,0.9043793570937769,0.00490748661473022,0.903740545115217,0.0047102440412478495,0.9075347496180382,0.004055552638083011
Logistic regression,0.77930400164402,0.007636040098838968,0.7730827343513014,0.008193321253475733,0.7771946960801742,0.008337603969758713,0.7730827343513014,0.008193321253475733,0.773960868553646,0.00808890630226584,0.77874358576234,0.007633632187269477
Linear SVM,0.7447435494281789,0.007398235524873753,0.7373550004567454,0.007961210865342858,0.7395954267696663,0.007732846928734538,0.7373550004567454,0.007961210865342858,0.7364807862784608,0.008146129394315988,0.7421605489598606,0.007715411613954608
