file,dataset_group,status,error,shape,dimensions,dtype,elements,unique_values,non_finite_values,minimum,maximum
Rehab_assessment/d02_processed_data/160/005_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/160/006_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1800,0,-168.37167886043355,159.29461632859932
Rehab_assessment/d02_processed_data/160/006_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1950,0,-153.58178656319902,118.23296243308558
Rehab_assessment/d02_processed_data/160/006_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/160/007_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1800,0,-303.6868060083093,136.3532706935122
Rehab_assessment/d02_processed_data/160/007_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1949,0,-49.95121124960099,59.15513454777877
Rehab_assessment/d02_processed_data/160/007_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/160/008_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1800,0,-192.2881240012781,129.71705337168441
Rehab_assessment/d02_processed_data/160/008_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1950,0,-67.73654589313176,52.41226717801206
Rehab_assessment/d02_processed_data/160/008_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/160/009_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1800,0,-282.1137500798974,231.12134100351534
Rehab_assessment/d02_processed_data/160/009_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1949,0,-91.70925663151158,151.59556024288918
Rehab_assessment/d02_processed_data/160/009_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
Rehab_assessment/d02_processed_data/160/010_1.npy,Rehab_assessment,readable,,"(150, 12)",2,float64,1800,1800,0,-81.82825055928396,199.6360281240013
Rehab_assessment/d02_processed_data/160/010_2.npy,Rehab_assessment,readable,,"(150, 13)",2,float64,1950,1947,0,-113.97891083413225,121.55416682646202
Rehab_assessment/d02_processed_data/160/010_3.npy,Rehab_assessment,readable,,"(150, 5)",2,float64,750,1,0,0.0,0.0
